PIN,SBL,OBJECTID,Shape__Area,Shape__Length
104.00-1-10,10400000010100000000,372,3987.2734375,263.435264528082
104.00-1-11,10400000010110000000,373,5184.390625,398.605805009514
104.00-1-12,10400000010120000000,374,22700.5859375,703.204614183087
104.00-1-13,10400000010130000000,375,20273.22265625,606.091942788693
104.00-1-14.1,10400000010140010000,376,3392.94140625,272.658148274307
104.00-1-15,10400000010150000000,377,4099.96875,264.344276275138
104.00-1-16.1,10400000010160100000,378,44460.96875,1229.91940636737
104.00-1-16.2,10400000010160200000,379,25161.65625,653.66958740714
104.00-1-16.32,10400000010160320000,380,32054.27734375,726.663325798831
104.00-1-17,10400000010170000000,381,181529.12890625,2335.3837199136
104.00-1-18.11,10400000010180110000,382,50084.32421875,1004.25260265302
104.00-1-18.12,10400000010180120000,383,159556.46484375,2129.11432714107
104.00-1-18.14,10400000010180140000,384,71584.43359375,1106.10774041464
104.00-1-18.15,10400000010180150000,385,71329.140625,1103.34659177989
104.00-1-18.21,10400000010180210000,386,202814.25,2056.31031147111
104.00-1-18.22,10400000010180220000,387,7027.59765625,335.46057383407
104.00-1-18.311,10400000010183110000,388,238346.60546875,2972.29016992326
104.00-1-18.312,10400000010183120000,389,32831.421875,815.976228481429
104.00-1-18.32,10400000010180320000,390,288573.89453125,2171.68567822552
104.00-1-18.41,10400000010180410000,391,132182.68359375,1732.45689590794
104.00-1-18.42,10400000010180420000,392,80481.98046875,1517.30691442426
104.00-1-19,10400000010190000000,393,9375.43359375,387.508030278022
104.00-1-2,10400000010020000000,394,288854.57421875,2358.04513677716
104.00-1-20.1,10400000010200010000,395,1463311.4921875,6576.70685468949
104.00-1-20.2,10400000010200020000,396,348648.140625,2389.26510181731
104.00-1-21.1,10400000010210100000,397,545195.703125,3570.96127335501
104.00-1-21.21,10400000010210210000,398,247428.890625,2249.61789928375
104.00-1-21.22,10400000010210220000,399,6396.71875,327.78227334521
104.00-1-22.1,10400000010220100000,400,123890.44921875,1561.99698379402
104.00-1-23.112,10400000010231120000,401,103316.4296875,1823.71412965717
104.00-1-23.12,10400000010230120000,402,157179.50390625,1596.87608182392
104.00-1-23.13,10400000010230130000,403,26376.05078125,654.30577638983
104.00-1-23.2,10400000010230200000,404,212344.91796875,2455.09286069953
104.00-1-24,10400000010240000000,405,11864.2734375,444.523583779734
104.00-1-25.11,10400000010250110000,406,585394.5390625,5858.93354463133
104.00-1-25.12,10400000010250120000,407,69417.70703125,1295.47223581237
